Carimbo de data/hora,Qual é o seu grau de escolaridade?,Em que ano você finalizou o ensino médio?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Você tem/teve contato com alguma linguagem de programação?,Quais linguagens de programação você já usou?,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Qual a importância que você atribui à Estatística? ,Qual a sua principal expectativa após a conclusão da graduação?,Qual o seu sexo?,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Com quem você mora?,Quantos irmãos você tem?,Qual a sua origem?,Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?,"Em média, quanto tempo você demora para chegar a Universidade?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Você pratica atividade física regularmente?,Quantas vezes por semana você se exercita?,Qual atividade você pratica?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
21/03/2023 21:14:36,Ensino médio,2021,Totalmente em escola particular,Ensino médio tradicional,Sim,"C++, Python",Não,Excel ou similares,3,Seguir os estudos,Masculino,189,69,28/06/2004,"Bolsa (IC, PET, Monitoria ou outra modalidade da UFPR)",Sozinho,1,Interior do Paraná,A pé,7,Não possuo,Flauta,"Facebook, Twitter, Instagram",Sim,3,"Caminhada, Corrida, Ciclismo","A da esquerda se chama Bouba, a da direita se chama Kiki.",40
22/03/2023 08:59:13,Ensino médio,2021,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,7,Conseguir um emprego,Feminino,165,70,17/12/2004,Não trabalho,Com os pais,1,Curitiba,Transporte público,60,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",36
22/03/2023 13:27:15,Ensino médio,2019,Totalmente em escola pública,Ensino médio tradicional,Sim,"C++, Python",Não,Nunca usei,8,Seguir os estudos,Feminino,160,45,24/08/2002,Não trabalho,Com os pais,3,Curitiba,Transporte público,100,"Cachorro, Gato","Piano, Outro","Twitter, Instagram",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",36
22/03/2023 16:19:26,Ensino médio,2021,Totalmente em escola particular,Ensino médio tradicional,Sim,C++,Não,Nunca usei,8,Conseguir um emprego,Masculino,182,75,02/01/2004,Não trabalho,Com os pais,2,Outro Estado,A pé,5,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo, Bateria","Twitter, Linkedin",Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
22/03/2023 21:23:29,Ensino superior,2016,Totalmente em escola particular,Ensino médio tradicional,Sim,"C++, JavaScript",Sim,Excel ou similares,9,Aumento salarial e oportunidades mais promissoras,Masculino,180,67,07/05/1999,Estágio,Com os pais,2,Curitiba,Transporte público,40,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",37
23/03/2023 16:30:39,Ensino superior,2019,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Feminino,172,65,09/04/2002,Não trabalho,Com os pais,0,Curitiba,Carro/moto próprio,45,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",36
23/03/2023 16:34:35,Ensino médio,2020,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Sim,C++,Sim,Excel ou similares,9,Conseguir um emprego,Feminino,174,63,25/08/2003,Não trabalho,"Pensão, quarto alugado ou algo similar",1,Outro Estado,A pé,7,Não possuo,Não toco nenhum instrumento,"Twitter, Instagram, Outras",Sim,5,"Musculação, Futebol","A da esquerda se chama Kiki, a da direita se chama Bouba.",25
23/03/2023 16:35:26,Ensino médio,2019,"Parte em escola pública, parte em particular",Ensino médio tradicional,Sim,"C, C++",Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,173,63,02/10/2002,Trabalho ocasional,Com os pais,1,Curitiba,Carro/moto próprio,30,Cachorro,Violão,"Facebook, Twitter, Instagram, Linkedin, Outras",Sim,5,"Caminhada, Corrida, Ciclismo, Musculação, Futebol, Tênis","A da esquerda se chama Kiki, a da direita se chama Bouba.",37
23/03/2023 16:38:09,Ensino médio,2021,Totalmente em escola pública,Ensino médio tradicional,Não,"C++, Python, Java, JavaScript",Sim,Excel ou similares,10,Seguir os estudos,Masculino,175,70,04/12/2004,Não trabalho,Com os pais,1,Curitiba,Táxi/Aplicativo,7,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Outras",Não,2,"Caminhada, Corrida, Futebol","A da esquerda se chama Kiki, a da direita se chama Bouba.",40
23/03/2023 16:43:38,Ensino superior,2019,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,7,Conseguir um emprego,Masculino,175,59,04/03/2002,Não trabalho,"Pensão, quarto alugado ou algo similar",2,Outro Estado,A pé,2,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram",Sim,6,"Musculação, Vôlei","A da esquerda se chama Kiki, a da direita se chama Bouba.",32
23/03/2023 16:44:29,Ensino médio,2019,Totalmente em escola pública,Ensino médio tradicional,Sim,C++,Não,Nunca usei,8,Aumento salarial e oportunidades mais promissoras,Feminino,165,53,28/06/2002,Estágio,Com os pais,4,Curitiba,Transporte público,90,Cachorro,"Teclado, Flauta","Facebook, Instagram, Linkedin",Sim,5,"Caminhada, Vôlei","A da esquerda se chama Kiki, a da direita se chama Bouba.",27
23/03/2023 17:22:04,Ensino médio,2003,Totalmente em escola pública,Ensino médio tradicional,Sim,C++,Sim,Excel ou similares,10,Conseguir um emprego,Masculino,177,114,08/01/1986,Estágio,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,2,Curitiba,Transporte público,50,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",Não,2,Caminhada,"A da esquerda se chama Kiki, a da direita se chama Bouba.",27
23/03/2023 17:37:22,Doutorado,2000,Totalmente em escola pública,Ensino médio tradicional,Sim,C++,Sim,"Excel ou similares, Matlab",8,Seguir os estudos,Masculino,176,84,07/06/1982,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,2,Curitiba,Carro/moto próprio,10,Cachorro,Não toco nenhum instrumento,"Instagram, Linkedin",Não,0,Nenhuma,"A da esquerda se chama Bouba, a da direita se chama Kiki.",34
23/03/2023 22:59:54,Ensino médio,2021,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Sim,C++,Sim,Excel ou similares,10,Conseguir um emprego,Feminino,177,62,09/05/2004,Não trabalho,Com outros familiares,1,Outro Estado,Transporte público,25,Cachorro,Não toco nenhum instrumento,Instagram,Não,0,Nenhuma,"A da esquerda se chama Bouba, a da direita se chama Kiki.",27
24/03/2023 09:42:51,Ensino superior,2020,Totalmente em escola particular,Ensino médio tradicional,Sim,C++,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,172,74,11/07/2003,Não trabalho,Com os pais,1,Curitiba,Transporte público,20,Não possuo,Violão,"Facebook, Twitter, Instagram",Sim,6,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
24/03/2023 10:29:15,Ensino superior,2021,Totalmente em escola particular,Ensino médio tradicional,Sim,C++,Não,Nunca usei,7,Conseguir um emprego,Feminino,162,60,29/10/2004,Não trabalho,Com os pais,1,Curitiba,Transporte público,50,Não possuo,Violão,"Twitter, Instagram",Sim,3,"Musculação, Vôlei","A da esquerda se chama Kiki, a da direita se chama Bouba.",36
24/03/2023 11:11:45,Ensino superior,2021,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Sim,C++,Não,Excel ou similares,10,Seguir os estudos,Masculino,170,64,22/08/2003,"Bolsa (IC, PET, Monitoria ou outra modalidade da UFPR)",Com amigos,1,Outro Estado,Bicicleta,16,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin",Sim,5,Ciclismo,"A da esquerda se chama Bouba, a da direita se chama Kiki.",22
24/03/2023 16:47:31,Ensino médio,2019,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Conseguir um emprego,Masculino,179,70,18/12/2002,Trabalho ocasional,Com os pais,1,Curitiba,Carro/moto próprio,25,Cachorro,Não toco nenhum instrumento,Linkedin,Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
25/03/2023 08:56:46,Ensino médio,2022,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Excel ou similares,9,Conseguir um emprego,Masculino,185,65,14/12/2004,Não trabalho,Com os pais,1,Curitiba,Transporte público,60,Não possuo,Não toco nenhum instrumento,"Twitter, Instagram, Outras",Sim,7,"Futebol, Tênis","A da esquerda se chama Kiki, a da direita se chama Bouba.",40
25/03/2023 18:53:17,Ensino médio,2020,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,9,Conseguir um emprego,Feminino,163,55,10/04/2003,Não trabalho,Com os pais,2,Curitiba,Carro/moto próprio,20,Gato,Outro,"Twitter, Instagram",Não,0,Caminhada,"A da esquerda se chama Kiki, a da direita se chama Bouba.",23
25/03/2023 19:41:48,Ensino médio,2013,Totalmente em escola pública,Ensino médio tradicional,Sim,"C, SQL",Sim,Excel ou similares,7,Seguir os estudos,Masculino,182,71,22/08/1994,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,1,Curitiba,Transporte público,50,Gato,Não toco nenhum instrumento,"Instagram, Linkedin",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
26/03/2023 12:44:16,Ensino médio,2021,Totalmente em escola particular,Ensino médio tradicional,Sim,C++,Sim,Excel ou similares,10,Aumento salarial e oportunidades mais promissoras,Feminino,170,61,23/01/2004,Não trabalho,Com os pais,0,Curitiba,Transporte público,40,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",35
26/03/2023 15:55:39,Ensino médio,2022,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Não,Nunca usei,Sim,Excel ou similares,9,Aumento salarial e oportunidades mais promissoras,Masculino,174,70,08/02/2004,Trabalho ocasional,Sozinho,0,Interior do Paraná,Transporte público,25,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram",Sim,3,"Caminhada, Corrida, Musculação","A da esquerda se chama Kiki, a da direita se chama Bouba.",35
26/03/2023 18:21:20,Ensino médio,2019,"Parte em escola pública, parte em particular",Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Conseguir um emprego,Masculino,170,78,27/01/2002,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Curitiba,Carro/moto próprio,10,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Sim,3,"Corrida, Musculação","A da esquerda se chama Kiki, a da direita se chama Bouba.",27
26/03/2023 20:56:45,Ensino médio,2021,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Conseguir um emprego,Masculino,178,99,08/09/2003,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Interior do Paraná,Transporte público,65,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Outras",Não,1,Futebol,"A da esquerda se chama Kiki, a da direita se chama Bouba.",36
26/03/2023 21:04:20,Ensino médio,2022,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Não,Nunca usei,Sim,Excel ou similares,10,Seguir os estudos,Feminino,157,55,20/04/2004,Não trabalho,Com os pais,1,Região metropolitana,Serviço fretado de van/ônibus,60,Cachorro,Não toco nenhum instrumento,Instagram,Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
27/03/2023 01:04:16,Ensino médio,2022,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Conseguir um emprego,Masculino,165,68,10/09/1986,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,6,Curitiba,Transporte público,60,"Cachorro, Gato, Pássaro",Não toco nenhum instrumento,"Facebook, Instagram",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
27/03/2023 01:10:36,Ensino médio,2022,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Conseguir um emprego,Masculino,165,68,10/09/1986,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,6,Curitiba,Transporte público,60,"Cachorro, Gato, Pássaro",Não toco nenhum instrumento,"Facebook, Instagram",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
27/03/2023 01:29:20,Ensino médio,2022,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Conseguir um emprego,Masculino,165,68,10/09/1986,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,6,Curitiba,Transporte público,60,"Cachorro, Gato, Pássaro",Não toco nenhum instrumento,"Facebook, Instagram",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
27/03/2023 08:04:06,Ensino médio,2013,Totalmente em escola pública,Ensino médio tradicional,Sim,"C, SQL",Sim,Excel ou similares,7,Seguir os estudos,Masculino,181,71,22/08/1994,Trabalho com carteira assinada/Vínculo Formal,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,1,Curitiba,Transporte público,50,Gato,Não toco nenhum instrumento,"Instagram, Linkedin",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",34
27/03/2023 12:52:36,Ensino superior,2019,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,8,Conseguir um emprego,Feminino,165,78,27/02/2002,Não trabalho,Sozinho,0,Região metropolitana,Carro/moto próprio,45,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",28
27/03/2023 13:03:19,Ensino superior,2016,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,5,Aumento salarial e oportunidades mais promissoras,Feminino,155,70,03/03/1999,Trabalho por contrato,Com os pais,3,Outro Estado,Carro/moto próprio,20,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Sim,1,Boxe,"A da esquerda se chama Bouba, a da direita se chama Kiki.",36
27/03/2023 20:28:30,Ensino médio,2022,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,5,Conseguir um emprego,Masculino,171,93,04/04/2005,Não trabalho,Com os pais,0,Região metropolitana,Transporte público,70,Não possuo,"Violão, Guitarra",Instagram,Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",36
28/03/2023 09:04:33,Ensino médio,2019,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Sim,Nunca usei,Sim,Excel ou similares,10,Aumento salarial e oportunidades mais promissoras,Masculino,177,84,21/01/2002,Trabalho com carteira assinada/Vínculo Formal,Com outros familiares,3,Curitiba,Transporte público,80,Não possuo,"Violão, Outro","Facebook, Instagram, Linkedin",Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",26
28/03/2023 09:13:19,Ensino superior,2013,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,5,Aumento salarial e oportunidades mais promissoras,Feminino,174,80,28/08/1996,Trabalho com carteira assinada/Vínculo Formal,Com os pais,0,Curitiba,Transporte público,90,Não possuo,Não toco nenhum instrumento,"Twitter, Instagram",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",25
28/03/2023 15:41:01,Ensino superior,2021,"Parte em escola pública, parte em particular",Ensino médio tradicional,Sim,"C++, Python",Não,Excel ou similares,8,Aumento salarial e oportunidades mais promissoras,Feminino,160,52,08/11/2004,Estágio,Com os pais,2,Curitiba,Transporte público,60,Cachorro,Outro,"Instagram, Outras",Sim,4,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",37
28/03/2023 15:43:46,Ensino médio,2020,Totalmente em escola particular,Ensino médio tradicional,Sim,C++,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Feminino,160,46,25/08/2003,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Outro Estado,Carro/moto próprio,15,"Cachorro, Gato",Não toco nenhum instrumento,"Twitter, Instagram",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",37
28/03/2023 15:44:34,Ensino superior,2021,Totalmente em escola particular,Ensino médio tradicional,Sim,C++,Sim,Excel ou similares,10,Seguir os estudos,Masculino,170,56,26/08/2003,Não trabalho,Com os pais,1,Curitiba,Carro/moto próprio,15,Cachorro,Piano,"Facebook, Instagram",Sim,4,"Musculação, Natação","A da esquerda se chama Kiki, a da direita se chama Bouba.",40
28/03/2023 16:04:41,Ensino médio,2021,Totalmente em escola particular,Ensino médio tradicional,Sim,C++,Não,Nunca usei,5,Conseguir um emprego,Masculino,175,65,28/02/2004,Não trabalho,Sozinho,0,Região metropolitana,Carro/moto próprio,15,Pássaro,Não toco nenhum instrumento,"Google+, Instagram, Linkedin",Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",37
28/03/2023 21:01:23,Ensino médio,2009,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Sim,"C#, Python, SQL, JavaScript, Lua, Html",Sim,"Excel ou similares, Matlab",10,Aumento salarial e oportunidades mais promissoras,Masculino,181,78,02/01/1991,Trabalho com carteira assinada/Vínculo Formal,Sozinho,1,Curitiba,Carro/moto próprio,15,Não possuo,Não toco nenhum instrumento,"Twitter, Linkedin, Outras",Sim,3,"Ciclismo, Musculação","A da esquerda se chama Kiki, a da direita se chama Bouba.",38
